head,train_valid_samples,val_valid_samples,test_valid_samples,joint_macro_f1,single_task_macro_f1,delta_macro_f1 (single - joint),joint_accuracy,single_accuracy,joint_balanced_acc,single_balanced_acc
domain,2838,409,415,1.0,1.0,0.0,1.0,1.0,1.0,1.0
subdomain,2832,409,415,0.5086,0.5059,-0.0027,0.4795,0.5157,0.5501,0.5272
intent,2836,409,415,0.3623,0.3743,0.012,0.4048,0.4337,0.3969,0.3881
entity_type,2826,406,411,0.2782,0.294,0.0158,0.3796,0.365,0.2871,0.3004
urgency,2367,309,335,0.3129,0.3078,-0.0051,0.5672,0.5403,0.314,0.3066
emotion,1587,163,160,0.2961,0.2951,-0.001,0.3187,0.2938,0.3086,0.2918
