Frame Index,Approximate Time (seconds),Approximate Time (milliseconds)
267,5.34,5340.0
268,5.36,5360.0
269,5.38,5380.0
270,5.4,5400.0
271,5.42,5420.0
272,5.44,5440.0
273,5.46,5460.0
274,5.48,5480.0
275,5.5,5500.0
276,5.5200000000000005,5520.000000000001
277,5.54,5540.0
278,5.5600000000000005,5560.000000000001
279,5.58,5580.0
280,5.6000000000000005,5600.000000000001
281,5.62,5620.0
282,5.64,5640.0
283,5.66,5660.0
284,5.68,5680.0
285,5.7,5700.0
286,5.72,5720.0
287,5.74,5740.0
288,5.76,5760.0
289,5.78,5780.0
290,5.8,5800.0
291,5.82,5820.0
292,5.84,5840.0
293,5.86,5860.0
294,5.88,5880.0
295,5.9,5900.0
296,5.92,5920.0
297,5.94,5940.0
298,5.96,5960.0
299,5.98,5980.0
300,6.0,6000.0
301,6.0200000000000005,6020.000000000001
302,6.04,6040.0
303,6.0600000000000005,6060.000000000001
304,6.08,6080.0
305,6.1000000000000005,6100.000000000001
306,6.12,6120.0
307,6.140000000000001,6140.000000000001
308,6.16,6160.0
309,6.18,6180.0
310,6.2,6200.0
311,6.22,6220.0
312,6.24,6240.0
313,6.26,6260.0
314,6.28,6280.0
315,6.3,6300.0
316,6.32,6320.0
317,6.34,6340.0
318,6.36,6360.0
319,6.38,6380.0
320,6.4,6400.0
321,6.42,6420.0
322,6.44,6440.0
323,6.46,6460.0
324,6.48,6480.0
325,6.5,6500.0
326,6.5200000000000005,6520.000000000001
327,6.54,6540.0
328,6.5600000000000005,6560.000000000001
329,6.58,6580.0
330,6.6000000000000005,6600.000000000001
331,6.62,6620.0
332,6.640000000000001,6640.000000000001
333,6.66,6660.0
334,6.68,6680.0
335,6.7,6700.0
336,6.72,6720.0
337,6.74,6740.0
338,6.76,6760.0
339,6.78,6780.0
340,6.8,6800.0
341,6.82,6820.0
342,6.84,6840.0
343,6.86,6860.0
344,6.88,6880.0
345,6.9,6900.0
346,6.92,6920.0
347,6.94,6940.0
348,6.96,6960.0
349,6.98,6980.0
350,7.0,7000.0
351,7.0200000000000005,7020.000000000001
352,7.04,7040.0
353,7.0600000000000005,7060.000000000001
354,7.08,7080.0
355,7.1000000000000005,7100.000000000001
356,7.12,7120.0
357,7.140000000000001,7140.000000000001
358,7.16,7160.0
359,7.18,7180.0
360,7.2,7200.0
361,7.22,7220.0
362,7.24,7240.0
363,7.26,7260.0
364,7.28,7280.0
365,7.3,7300.0
366,7.32,7320.0
367,7.34,7340.0
368,7.36,7360.0
369,7.38,7380.0
370,7.4,7400.0
371,7.42,7420.0
372,7.44,7440.0
373,7.46,7460.0
374,7.48,7480.0
375,7.5,7500.0
376,7.5200000000000005,7520.000000000001
377,7.54,7540.0
378,7.5600000000000005,7560.000000000001
379,7.58,7580.0
380,7.6000000000000005,7600.000000000001
381,7.62,7620.0
382,7.640000000000001,7640.000000000001
383,7.66,7660.0
384,7.68,7680.0
385,7.7,7700.0
386,7.72,7720.0
387,7.74,7740.0
388,7.76,7760.0
389,7.78,7780.0
390,7.8,7800.0
391,7.82,7820.0
392,7.84,7840.0
393,7.86,7860.0
394,7.88,7880.0
395,7.9,7900.0
396,7.92,7920.0
397,7.94,7940.0
398,7.96,7960.0
399,7.98,7980.0
400,8.0,8000.0
401,8.02,8020.0
402,8.040000000000001,8040.000000000001
403,8.06,8060.000000000001
404,8.08,8080.0
405,8.1,8100.0
406,8.120000000000001,8120.000000000001
407,8.14,8140.000000000001
408,8.16,8160.0
409,8.18,8180.0
410,8.2,8200.0
411,8.22,8220.0
412,8.24,8240.0
413,8.26,8260.0
414,8.28,8280.0
415,8.3,8300.0
416,8.32,8320.0
417,8.34,8340.0
418,8.36,8360.0
419,8.38,8380.0
420,8.4,8400.0
421,8.42,8420.0
422,8.44,8440.0
423,8.46,8460.0
424,8.48,8480.0
425,8.5,8500.0
426,8.52,8520.0
427,8.540000000000001,8540.000000000002
428,8.56,8560.0
429,8.58,8580.0
430,8.6,8600.0
431,8.620000000000001,8620.000000000002
432,8.64,8640.0
433,8.66,8660.0
434,8.68,8680.0
435,8.700000000000001,8700.000000000002
436,8.72,8720.0
437,8.74,8740.0
438,8.76,8760.0
439,8.78,8780.0
440,8.8,8800.0
441,8.82,8820.0
442,8.84,8840.0
443,8.86,8860.0
444,8.88,8880.0
445,8.9,8900.0
446,8.92,8920.0
447,8.94,8940.0
448,8.96,8960.0
449,8.98,8980.0
450,9.0,9000.0
451,9.02,9020.0
452,9.040000000000001,9040.000000000002
453,9.06,9060.0
454,9.08,9080.0
455,9.1,9100.0
456,9.120000000000001,9120.000000000002
457,9.14,9140.0
458,9.16,9160.0
459,9.18,9180.0
460,9.200000000000001,9200.000000000002
461,9.22,9220.0
462,9.24,9240.0
463,9.26,9260.0
464,9.28,9280.0
465,9.3,9300.0
466,9.32,9320.0
467,9.34,9340.0
468,9.36,9360.0
469,9.38,9380.0
470,9.4,9400.0
471,9.42,9420.0
472,9.44,9440.0
473,9.46,9460.0
474,9.48,9480.0
475,9.5,9500.0
476,9.52,9520.0
477,9.540000000000001,9540.000000000002
478,9.56,9560.0
479,9.58,9580.0
480,9.6,9600.0
481,9.620000000000001,9620.000000000002
482,9.64,9640.0
483,9.66,9660.0
484,9.68,9680.0
485,9.700000000000001,9700.000000000002
486,9.72,9720.0
487,9.74,9740.0
488,9.76,9760.0
489,9.78,9780.0
490,9.8,9800.0
491,9.82,9820.0
492,9.84,9840.0
493,9.86,9860.0
494,9.88,9880.0
495,9.9,9900.0
496,9.92,9920.0
497,9.94,9940.0
498,9.96,9960.0
499,9.98,9980.0
500,10.0,10000.0
501,10.02,10020.0
502,10.040000000000001,10040.000000000002
503,10.06,10060.0
504,10.08,10080.0
505,10.1,10100.0
506,10.120000000000001,10120.000000000002
507,10.14,10140.0
508,10.16,10160.0
509,10.18,10180.0
510,10.200000000000001,10200.000000000002
511,10.22,10220.0
512,10.24,10240.0
513,10.26,10260.0
514,10.28,10280.0
515,10.3,10300.0
516,10.32,10320.0
517,10.34,10340.0
518,10.36,10360.0
519,10.38,10380.0
520,10.4,10400.0
521,10.42,10420.0
522,10.44,10440.0
523,10.46,10460.0
524,10.48,10480.0
525,10.5,10500.0
526,10.52,10520.0
527,10.540000000000001,10540.000000000002
528,10.56,10560.0
529,10.58,10580.0
530,10.6,10600.0
531,10.620000000000001,10620.000000000002
532,10.64,10640.0
533,10.66,10660.0
534,10.68,10680.0
535,10.700000000000001,10700.000000000002
536,10.72,10720.0
537,10.74,10740.0
538,10.76,10760.0
539,10.78,10780.0
540,10.8,10800.0
541,10.82,10820.0
542,10.84,10840.0
543,10.86,10860.0
544,10.88,10880.0
545,10.9,10900.0
546,10.92,10920.0
547,10.94,10940.0
548,10.96,10960.0
549,10.98,10980.0
550,11.0,11000.0
551,11.02,11020.0
552,11.040000000000001,11040.000000000002
553,11.06,11060.0
554,11.08,11080.0
555,11.1,11100.0
556,11.120000000000001,11120.000000000002
557,11.14,11140.0
558,11.16,11160.0
559,11.18,11180.0
560,11.200000000000001,11200.000000000002
561,11.22,11220.0
562,11.24,11240.0
563,11.26,11260.0
564,11.28,11280.0
565,11.3,11300.0
566,11.32,11320.0
567,11.34,11340.0
568,11.36,11360.0
569,11.38,11380.0
570,11.4,11400.0
571,11.42,11420.0
572,11.44,11440.0
573,11.46,11460.0
574,11.48,11480.0
575,11.5,11500.0
576,11.52,11520.0
577,11.540000000000001,11540.000000000002
578,11.56,11560.0
579,11.58,11580.0
580,11.6,11600.0
581,11.620000000000001,11620.000000000002
582,11.64,11640.0
583,11.66,11660.0
584,11.68,11680.0
585,11.700000000000001,11700.000000000002
586,11.72,11720.0
587,11.74,11740.0
588,11.76,11760.0
589,11.78,11780.0
590,11.8,11800.0
591,11.82,11820.0
592,11.84,11840.0
593,11.86,11860.0
594,11.88,11880.0
595,11.9,11900.0
596,11.92,11920.0
597,11.94,11940.0
598,11.96,11960.0
599,11.98,11980.0
600,12.0,12000.0
601,12.02,12020.0
602,12.040000000000001,12040.000000000002
603,12.06,12060.0
604,12.08,12080.0
605,12.1,12100.0
606,12.120000000000001,12120.000000000002
607,12.14,12140.0
608,12.16,12160.0
609,12.18,12180.0
610,12.200000000000001,12200.000000000002
611,12.22,12220.0
612,12.24,12240.0
613,12.26,12260.0
614,12.280000000000001,12280.000000000002
615,12.3,12300.0
616,12.32,12320.0
617,12.34,12340.0
618,12.36,12360.0
619,12.38,12380.0
620,12.4,12400.0
621,12.42,12420.0
622,12.44,12440.0
623,12.46,12460.0
624,12.48,12480.0
625,12.5,12500.0
626,12.52,12520.0
627,12.540000000000001,12540.000000000002
628,12.56,12560.0
629,12.58,12580.0
630,12.6,12600.0
631,12.620000000000001,12620.000000000002
632,12.64,12640.0
633,12.66,12660.0
634,12.68,12680.0
635,12.700000000000001,12700.000000000002
636,12.72,12720.0
637,12.74,12740.0
638,12.76,12760.0
639,12.780000000000001,12780.000000000002
640,12.8,12800.0
641,12.82,12820.0
642,12.84,12840.0
643,12.86,12860.0
644,12.88,12880.0
645,12.9,12900.0
646,12.92,12920.0
647,12.94,12940.0
648,12.96,12960.0
649,12.98,12980.0
650,13.0,13000.0
651,13.02,13020.0
652,13.040000000000001,13040.000000000002
653,13.06,13060.0
654,13.08,13080.0
655,13.1,13100.0
656,13.120000000000001,13120.000000000002
657,13.14,13140.0
658,13.16,13160.0
659,13.18,13180.0
660,13.200000000000001,13200.000000000002
661,13.22,13220.0
662,13.24,13240.0
663,13.26,13260.0
664,13.280000000000001,13280.000000000002
665,13.3,13300.0
666,13.32,13320.0
667,13.34,13340.0
668,13.36,13360.0
669,13.38,13380.0
670,13.4,13400.0
671,13.42,13420.0
672,13.44,13440.0
673,13.46,13460.0
674,13.48,13480.0
675,13.5,13500.0
676,13.52,13520.0
677,13.540000000000001,13540.000000000002
678,13.56,13560.0
679,13.58,13580.0
680,13.6,13600.0
681,13.620000000000001,13620.000000000002
682,13.64,13640.0
683,13.66,13660.0
684,13.68,13680.0
685,13.700000000000001,13700.000000000002
686,13.72,13720.0
687,13.74,13740.0
688,13.76,13760.0
689,13.780000000000001,13780.000000000002
690,13.8,13800.0
691,13.82,13820.0
692,13.84,13840.0
693,13.86,13860.0
694,13.88,13880.0
695,13.9,13900.0
696,13.92,13920.0
697,13.94,13940.0
698,13.96,13960.0
699,13.98,13980.0
700,14.0,14000.0
701,14.02,14020.0
702,14.040000000000001,14040.000000000002
703,14.06,14060.0
704,14.08,14080.0
705,14.1,14100.0
706,14.120000000000001,14120.000000000002
707,14.14,14140.0
708,14.16,14160.0
709,14.18,14180.0
710,14.200000000000001,14200.000000000002
711,14.22,14220.0
712,14.24,14240.0
713,14.26,14260.0
714,14.280000000000001,14280.000000000002
715,14.3,14300.0
716,14.32,14320.0
717,14.34,14340.0
718,14.36,14360.0
719,14.38,14380.0
720,14.4,14400.0
721,14.42,14420.0
722,14.44,14440.0
723,14.46,14460.0
724,14.48,14480.0
725,14.5,14500.0
726,14.52,14520.0
727,14.540000000000001,14540.000000000002
728,14.56,14560.0
729,14.58,14580.0
730,14.6,14600.0
731,14.620000000000001,14620.000000000002
732,14.64,14640.0
733,14.66,14660.0
734,14.68,14680.0
735,14.700000000000001,14700.000000000002
736,14.72,14720.0
737,14.74,14740.0
738,14.76,14760.0
739,14.780000000000001,14780.000000000002
740,14.8,14800.0
741,14.82,14820.0
742,14.84,14840.0
743,14.86,14860.0
744,14.88,14880.0
745,14.9,14900.0
746,14.92,14920.0
747,14.94,14940.0
748,14.96,14960.0
749,14.98,14980.0
750,15.0,15000.0
751,15.02,15020.0
752,15.040000000000001,15040.000000000002
753,15.06,15060.0
754,15.08,15080.0
755,15.1,15100.0
756,15.120000000000001,15120.000000000002
757,15.14,15140.0
758,15.16,15160.0
759,15.18,15180.0
760,15.200000000000001,15200.000000000002
761,15.22,15220.0
762,15.24,15240.0
763,15.26,15260.0
764,15.280000000000001,15280.000000000002
765,15.3,15300.0
766,15.32,15320.0
767,15.34,15340.0
768,15.36,15360.0
769,15.38,15380.0
770,15.4,15400.0
771,15.42,15420.0
772,15.44,15440.0
773,15.46,15460.0
774,15.48,15480.0
775,15.5,15500.0
776,15.52,15520.0
777,15.540000000000001,15540.000000000002
778,15.56,15560.0
779,15.58,15580.0
780,15.6,15600.0
781,15.620000000000001,15620.000000000002
782,15.64,15640.0
783,15.66,15660.0
784,15.68,15680.0
785,15.700000000000001,15700.000000000002
786,15.72,15720.0
787,15.74,15740.0
788,15.76,15760.0
789,15.780000000000001,15780.000000000002
790,15.8,15800.0
791,15.82,15820.0
792,15.84,15840.0
793,15.860000000000001,15860.000000000002
794,15.88,15880.0
795,15.9,15900.0
796,15.92,15920.0
797,15.94,15940.0
798,15.96,15960.0
799,15.98,15980.0
800,16.0,16000.0
801,16.02,16020.0
802,16.04,16040.0
803,16.06,16059.999999999998
804,16.080000000000002,16080.000000000002
805,16.1,16100.000000000002
